birth_year,gender,x102,x103,x104,x108,x109,x113,x114,x118,x119,x130,x140,x210,x258,x323
31,1,1,1,1,1,1,1,1,2,17,8,1,39,1,38
63,2,1,1,1,2,6,2,1,2,17,9,3,5,1,32
35,1,1,1,1,2,2,2,1,2,17,8,1,33,1,33
43,2,1,1,1,2,8,2,1,2,17,7,1,13,1,58
37,1,1,1,4,1,1,1,1,2,17,7,1,30,1,41
38,2,1,1,6,1,2,1,1,2,17,7,1,NA,1,38
63,2,1,1,1,2,8,4,2,2,17,11,3,2,1,32
40,1,1,1,1,1,8,3,2,2,17,7,3,27,1,39
62,2,1,1,6,8,8,8,2,2,17,9,2,6,1,35
21,1,1,1,1,2,4,2,1,3,20,6,1,48,1,105
28,2,1,1,1,2,1,4,1,2,20,7,1,37,1,42
28,1,1,1,1,2,6,2,2,3,20,11,1,35,1,41
33,1,1,1,1,2,6,2,1,2,20,13,3,33,1,50
36,2,1,1,1,2,4,2,1,3,20,10,1,4,1,30
48,1,1,1,1,2,6,2,2,3,20,10,1,17,1,44
52,2,1,1,1,2,2,2,1,2,20,11,1,14,1,38
33,2,1,1,1,2,6,2,1,3,25,7,1,17,1,28
37,1,1,1,1,2,6,2,3,2,20,10,3,29,1,42
24,1,1,1,1,1,1,2,1,3,20,12,1,40,1,56
58,1,1,1,1,3,4,5,2,5,20,12,2,6,1,29
59,2,1,1,2,8,0,3,4,4,20,11,2,8,1,48
42,1,1,1,1,4,6,2,1,3,20,15,1,24,1,54
35,2,4,2,1,2,6,2,1,1,20,11,1,25,1,35
41,1,1,1,1,2,4,2,4,4,20,12,1,26,1,74
41,2,1,1,1,1,1,1,1,4,17,12,1,20,1,61
43,1,1,1,1,3,7,2,1,3,17,14,1,20,1,58
38,1,1,1,1,2,7,1,4,4,17,10,1,30,1,47
39,2,1,1,1,4,1,4,1,2,17,11,1,24,1,45
38,1,1,1,1,4,1,4,1,2,17,15,1,22,1,83
25,2,1,1,1,1,1,1,1,2,17,7,1,43,1,33
25,1,1,1,1,1,2,1,1,4,17,8,1,43,1,43
26,2,1,1,1,2,1,1,1,2,17,8,3,24,1,36
30,2,1,1,1,1,1,1,1,2,17,6,1,31,1,49
26,1,1,1,1,2,1,2,1,2,17,13,1,33,1,59
56,2,1,1,1,5,4,4,2,4,20,12,1,5,1,37
55,1,1,1,1,2,5,3,3,4,20,11,1,10,1,56
65,1,1,1,1,6,5,4,3,5,20,11,3,1,1,35
29,1,1,1,1,2,1,2,1,2,20,12,1,34,1,56
30,2,1,1,1,5,2,2,1,3,20,10,1,20,1,41
54,2,1,1,1,5,2,2,2,4,17,12,3,12,1,41
24,1,1,1,1,2,5,2,1,4,17,8,1,43,1,56
23,2,1,1,1,1,7,1,1,3,17,7,1,43,1,41
59,1,1,1,1,2,1,2,2,2,17,11,1,6,1,33
59,2,1,1,1,3,7,2,2,3,17,13,1,6,1,39
53,2,1,1,1,3,7,2,1,2,17,12,1,12,1,37
49,1,1,1,1,3,7,2,2,3,17,17,1,11,1,53
54,2,1,1,1,2,8,2,1,4,17,13,1,8,1,29
51,1,1,1,1,3,2,2,2,4,17,9,1,17,1,48
57,1,1,1,1,2,8,2,3,2,17,13,1,8,1,21
56,2,1,1,1,3,5,5,3,4,17,11,1,10,1,38
57,1,1,1,1,2,4,2,1,4,17,13,2,10,1,35
53,2,1,1,1,2,8,2,1,3,17,12,2,13,1,41
45,2,1,1,1,2,1,2,1,2,17,8,2,12,1,40
48,1,1,1,1,2,6,2,3,3,17,13,2,15,1,41
40,1,1,1,1,2,6,2,1,2,3,7,1,27,1,37
48,2,1,1,1,4,6,2,4,4,3,12,1,20,1,49
47,1,1,1,1,2,6,2,3,5,3,15,1,20,1,60
51,1,1,1,1,3,5,2,1,4,3,14,1,17,NA,52
54,2,1,1,1,6,8,6,4,3,3,14,1,7,1,28
47,2,1,1,1,2,7,3,2,4,3,14,1,14,1,35
41,1,1,1,1,3,7,2,4,4,3,10,1,28,1,37
27,1,1,1,1,2,1,2,1,2,3,6,1,44,1,41
37,1,1,1,6,2,1,2,1,2,3,15,1,25,1,69
65,2,1,1,1,5,5,6,4,4,3,12,3,1,1,30
35,1,1,1,1,2,7,2,1,5,3,13,1,32,1,65
41,2,1,1,1,3,1,2,1,2,3,14,1,20,1,46
37,1,4,2,1,8,1,8,1,1,3,10,3,31,1,43
37,2,1,1,1,2,1,2,1,2,3,8,3,21,1,40
44,1,1,1,1,2,4,2,2,3,3,12,1,16,2,119
30,2,1,1,1,1,1,1,1,2,3,6,1,27,1,36
58,1,1,1,1,2,1,2,1,2,3,8,3,9,1,38
22,2,1,1,1,5,1,4,1,2,3,15,3,40,1,47
47,1,1,1,1,3,1,3,1,2,3,8,1,21,1,47
52,2,4,2,1,1,1,1,1,1,3,8,1,11,NA,35
49,1,1,1,1,2,7,2,2,3,3,19,1,7,1,49
52,2,1,1,1,3,7,6,2,3,3,16,1,10,1,55
45,2,4,2,3,7,5,1,4,1,3,8,1,4,1,48
48,1,1,1,1,6,5,4,1,4,3,16,1,12,1,74
46,2,1,1,1,2,8,3,1,3,3,9,1,21,1,42
21,2,1,1,7,2,1,2,1,2,3,6,1,10,1,37
47,1,4,1,1,6,5,6,2,1,3,25,1,12,1,81
50,2,4,1,1,3,4,5,2,1,3,13,1,5,NA,41
29,1,3,1,1,6,4,3,1,5,3,14,3,34,2,56
42,1,1,1,1,5,7,2,1,2,3,10,1,26,1,46
43,2,1,1,1,2,5,2,2,4,3,10,1,23,1,60
30,2,1,1,1,3,1,2,1,2,3,7,1,38,1,128
56,2,1,1,6,2,6,2,4,4,3,13,3,8,1,43
49,2,1,1,1,2,6,2,1,3,3,19,1,10,1,87
44,1,1,1,1,4,5,4,1,2,3,19,1,13,1,50
